PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;13;14;93%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;47;61;77%
05Ordenacao;ds.Ordenacao;10;10;100%;19;21;90%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;35;41;85%
09Ordenacao;ds.Ordenacao;16;16;100%;51;56;91%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;39;75;52%
11ListArray;ds.Lista;12;12;100%;22;29;76%
12Lista;ds.Lista;12;12;100%;17;21;81%
13Pilha;ds.Pilha;12;12;100%;24;27;89%
14Pilha;ds.Pilha;17;17;100%;25;27;93%
15Fila;ds.Fila;19;19;100%;36;40;90%
16Fila;ds.Fila;23;23;100%;27;32;84%
17Ordenacao;ds.Ordenacao;48;48;100%;129;141;91%
18FPHeapMax;ds.FPHeapMax;40;40;100%;95;116;82%
19FPHeapMin;ds.FPHeapMin;41;42;98%;87;120;73%
20Tabela;ds.Tabela;21;21;100%;46;55;84%
21ArvoreBinaria;ds.ArvoreBinaria;39;48;81%;83;145;57%
22TabelaHash;ds.TabelaHash;35;35;100%;57;88;65%
23TabelaHash;ds.TabelaHash;51;52;98%;111;162;69%
24Grafo;ds.Grafo;42;42;100%;102;134;76%
25Grafo;ds.Grafo;34;34;100%;71;95;75%
26Grafo;ds.Grafo;51;51;100%;92;113;81%
27Grafo;ds.Grafo;33;33;100%;64;94;68%
28BuscaEmLargura;ds.Grafo;31;33;94%;58;94;62%
29Grafo;ds.Grafo;33;33;100%;65;94;69%
30Lista;ds.AgmPrim;32;32;100%;27;71;38%
31CasamentoExato;ds.CasamentoExato;40;40;100%;128;205;62%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;37;88;42%
