01Max,ds.Max,4,4,100%,7,14,50%
02MaxMin,ds.MaxMin1,8,8,100%,5,21,24%
03MaxMin,ds.MaxMin2,8,8,100%,5,21,24%
04MaxMin,ds.MaxMin3,16,16,100%,8,61,13%
05Ordenacao,ds.Ordenacao,7,10,70%,5,21,24%
06Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
07Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
08MaxMin,ds.MaxMin4,12,13,92%,10,41,24%
09Ordenacao,ds.Ordenacao,15,16,94%,12,56,21%
10AvaliaMultMatrizes,ds.AvaliaMultMatrizes,13,14,93%,24,75,32%
11ListArray,ds.Lista,10,12,83%,18,29,62%
12Lista,ds.Lista,12,12,100%,15,21,71%
13Pilha,ds.Pilha,11,12,92%,22,27,81%
14Pilha,ds.Pilha,17,17,100%,23,27,85%
15Fila,ds.Fila,14,19,74%,20,40,50%
16Fila,ds.Fila,23,23,100%,25,32,78%
17Ordenacao,ds.Ordenacao,33,49,67%,32,141,23%
18FPHeapMax,ds.FPHeapMax,26,40,65%,27,116,23%
19FPHeapMin,ds.FPHeapMin,28,42,67%,39,120,33%
20Tabela,ds.Tabela,15,21,71%,13,55,24%
21ArvoreBinaria,ds.ArvoreBinaria,26,48,54%,27,145,19%
22TabelaHash,ds.TabelaHash,31,35,89%,49,88,56%
23TabelaHash,ds.TabelaHash,50,51,98%,95,162,59%
24Grafo,ds.Grafo,40,42,95%,92,134,69%
25Grafo,ds.Grafo,30,34,88%,55,95,58%
26Grafo,ds.Grafo,37,51,73%,45,113,40%
27Grafo,ds.Grafo,31,33,94%,43,94,46%
28BuscaEmLargura,ds.Grafo,31,33,94%,43,94,46%
29Grafo,ds.Grafo,31,33,94%,43,94,46%
30Lista,ds.AgmPrim,9,31,29%,1,71,1%
31CasamentoExato,ds.CasamentoExato,39,40,98%,113,205,55%
32CasamentoAproximado,ds.CasamentoAproximado,19,19,100%,34,88,39%
